S 36 5
  7.3899886E+07    0.0001129475  -0.0000401876  -0.0000182774   0.0000085887  -0.0000035153
  1.9633722E+07    0.0002807876  -0.0000999500  -0.0000454602   0.0000213623  -0.0000087434
  6.6922643E+06    0.0005088379  -0.0001812219  -0.0000824325   0.0000387368  -0.0000158547
  2.5285853E+06    0.0009244653  -0.0003296070  -0.0001499512   0.0000704681  -0.0000288424
  1.0366929E+06    0.0015926336  -0.0005688182  -0.0002588514   0.0001216503  -0.0000497917
  4.4650166E+05    0.0027954222  -0.0010011522  -0.0004557678   0.0002142181  -0.0000876819
  2.0020913E+05    0.0048771483  -0.0017539754  -0.0007990224   0.0003755885  -0.0001537362
  9.2618144E+04    0.0086375326  -0.0031255764  -0.0014250940   0.0006700645  -0.0002742879
  4.4108639E+04    0.0153626010  -0.0056097403  -0.0025614616   0.0012046013  -0.0004931189
  2.1574990E+04    0.0274983402  -0.0101796067  -0.0046572737   0.0021915732  -0.0008972729
  1.0818050E+04    0.0489716273  -0.0185182254  -0.0085011281   0.0040023204  -0.0016388006
  5.5496999E+03    0.0853381696  -0.0334100400  -0.0154172706   0.0072692981  -0.0029775068
  2.9090658E+03    0.1409672893  -0.0584721490  -0.0272354058   0.0128618452  -0.0052700332
  1.5566705E+03    0.2097419730  -0.0959104503  -0.0453672595   0.0215121675  -0.0088224951
  8.4979889E+02    0.2580539544  -0.1379450546  -0.0670346680   0.0319456675  -0.0131158744
  4.7263746E+02    0.2298166556  -0.1505246201  -0.0759798045   0.0365884884  -0.0150574482
  2.6698057E+02    0.1212424133  -0.0655451160  -0.0331976850   0.0159169838  -0.0065434052
  1.5206266E+02    0.0273396857   0.1661647349   0.1135191787  -0.0580247441   0.0241944596
  8.8681793E+01    0.0016608731   0.4122764555   0.3446312129  -0.1869153404   0.0790095317
  5.2398884E+01    0.0002197894   0.3971104452   0.4313581687  -0.2451199665   0.1045975242
  3.1194900E+01   -0.0000738434   0.1727864083   0.1411384389  -0.0908607268   0.0410001733
  1.8559523E+01   -0.0000313658   0.0266610063  -0.4279959410   0.3489146382  -0.1636646213
  1.1455075E+01   -0.0000167953   0.0018664868  -0.6047428652   0.7182247859  -0.3653546950
  7.0139025E+00   -0.0000020457  -0.0000304921  -0.2997360324   0.3651208460  -0.1737590421
  4.1273885E+00    0.0000081902  -0.0000908812  -0.0508954334  -0.3796453730   0.2333171201
  2.5641474E+00   -0.0000015868  -0.0001630619  -0.0024171326  -0.7099026629   0.6051032443
  1.5626177E+00    0.0000029701   0.0000284372  -0.0014224048  -0.3882537211   0.5087759028
  8.9369219E-01   -0.0000018072  -0.0000244133   0.0002839889  -0.0629496401  -0.1387607219
  5.1812444E-01    0.0000008752   0.0000252636  -0.0000163091  -0.0003540703  -0.7013212299
  2.9605175E-01   -0.0000007420  -0.0000104403   0.0000958042  -0.0019483574  -0.5309595841
  1.6486736E-01    0.0000004363   0.0000084389  -0.0000314525   0.0005869620  -0.0830996632
  9.8631282E-02   -0.0000002625  -0.0000048696   0.0000198288  -0.0003538335   0.0009092786
  5.1485683E-02    0.0000001193   0.0000022211  -0.0000086648   0.0001509462  -0.0001963302
  2.7465144E-02   -0.0000000586  -0.0000010932   0.0000041825  -0.0000721891  -0.0000358609
  1.4432698E-02    0.0000000230   0.0000004305  -0.0000016301   0.0000280265   0.0000358966
  7.6606625E-03   -0.0000000054  -0.0000001004   0.0000003780  -0.0000064887  -0.0000106709
